Product Name,Generic Name,Manufacturer,NDC Code,Therapeutic Area,Indication,Number of Doses,WAC Price (USD),Government Price (340B/VA),Commercial Insurance Price,PAP Available,Prior Authorization Required,Treatment Journey Phase 1 - Pre-Infusion,Treatment Journey Phase 2 - Manufacturing,Treatment Journey Phase 3 - Infusion,Treatment Journey Phase 4 - Post-Infusion,Days from Enrollment to Infusion,Insurance Coverage Types,Copay Assistance Program,REMS Program Required,Specialty Pharmacy Required,Inpatient vs Outpatient
Kymriah,tisagenlecleucel,Novartis,0078-0813-93,CAR-T Therapy,Pediatric/Young Adult ALL,"Single dose, patient-specific","$475,000","$285,000 (340B discounted)","Varies by plan, typically $400,000-475,000",Yes - Novartis Patient Assistance,Yes - Medical and Pharmacy PA,"Screening: HLA typing not required, disease assessment, leukapheresis eligibility evaluation, patient education (Days 1-7); Leukapheresis: T-cell collection at qualified center, cryopreservation (Day 7-10); Bridging therapy: Optional chemotherapy during manufacturing if needed (Days 10-35)","Manufacturing at Novartis facility: 3-4 weeks typical, T-cell activation, genetic modification with lentiviral vector, expansion, quality testing, cryopreservation, shipment to treatment center (Days 10-35)","Lymphodepleting chemotherapy: Fludarabine 25mg/m2 + Cyclophosphamide 250-500mg/m2 for 3 days (Days 35-37); Day 0: Kymriah infusion over 20-30 minutes, admit to hospital minimum 7 days for CRS/neurotoxicity monitoring, tocilizumab available bedside","Hospital monitoring 7-10 days: Daily neurological assessments, cytokine monitoring, CRS management (tocilizumab, steroids if needed); Outpatient monitoring: Weekly visits x 4 weeks, then monthly x 4 months; Long-term: Every 3 months for 5 years minimum; Monitoring for B-cell aplasia, immunoglobulin replacement as needed",35-45 days average,"Medicare Part B (buy-and-bill), Commercial insurance, Medicaid, VA/DoD, 340B eligible",Yes - Novartis Oncology Patient Assistance,No specific REMS but Risk Evaluation required,Yes - specialty pharmacy coordinates,Inpatient required for infusion and monitoring
Yescarta,axicabtagene ciloleucel,Gilead Sciences/Kite Pharma,68180-0151-01,CAR-T Therapy,Large B-Cell Lymphoma,"Single dose, patient-specific","$373,000","$223,800 (340B discounted)","Varies by plan, typically $330,000-373,000",Yes - Kite Konnect Patient Support,Yes - Medical and Pharmacy PA,"Screening: Disease staging (PET/CT), leukapheresis eligibility, bridging therapy planning (Days 1-7); Leukapheresis: T-cell collection, must collect adequate cells, cryopreservation (Days 7-10); Bridging: Chemotherapy or radiation for disease control during manufacturing (Days 10-28)","Manufacturing at Kite facility: 2-3 weeks typical, T-cell activation, retroviral transduction with anti-CD19 CAR, expansion, quality release testing, cryopreservation and shipping (Days 10-28)","Lymphodepletion: Cyclophosphamide 500mg/m2 + Fludarabine 30mg/m2 for 3 days (Days 26-28); Day 0: Yescarta infusion over 30 minutes, minimum 7 days inpatient monitoring for CRS/ICANS, tocilizumab and emergency medications at bedside","Inpatient: 7-14 days for CRS/neurotoxicity monitoring, daily neurological exams, cytokine panels; Outpatient: Week 1 and 2 post-discharge visit, then monthly x 3 months; Long-term: Every 3 months for Year 1, then every 6 months; B-cell monitoring, IVIG replacement therapy",28-38 days average,"Medicare Part B, Commercial, Medicaid, VA/340B",Yes - Kite Konnect Copay Program,Yes - Yescarta REMS program,Yes - specialty distribution,Inpatient required minimum 7 days
Breyanzi,lisocabtagene maraleucel,Bristol Myers Squibb/Juno,0003-2550-11,CAR-T Therapy,Large B-Cell Lymphoma,"Single dose, patient-specific","$410,300","$246,180 (340B discounted)","Varies by plan, typically $370,000-410,000",Yes - BMS Access Support,Yes - Medical and Pharmacy PA,"Screening: Staging scans, organ function tests, leukapheresis planning (Days 1-5); Leukapheresis: T-cell collection with CD4/CD8 selection, cryopreservation (Days 5-8); Bridging therapy: Disease management during manufacturing period (Days 8-30)","Manufacturing at Juno/BMS facility: 2-4 weeks, separate CD4+ and CD8+ CAR-T production, lentiviral transduction, defined 1:1 CD4:CD8 ratio, expansion and release testing (Days 8-30)","Lymphodepletion: Cyclophosphamide 300mg/m2 + Fludarabine 30mg/m2 for 3 days (Days 28-30); Day 0: Breyanzi infusion of CD4+ then CD8+ components, hospitalization 7-10 days minimum for monitoring, CRS/ICANS management protocols","Hospital stay: 7-10 days with neurological monitoring every 4-6 hours, CRS grading, tocilizumab/steroids as needed; Outpatient: Weekly x 4 weeks then biweekly x 2 months; Long-term surveillance: Every 3 months Year 1, then every 6 months; Immunoglobulin monitoring",30-40 days average,"Medicare Part B, Commercial insurance, Medicaid, 340B/VA",Yes - BMS Access Support Copay,Yes - Breyanzi REMS program,Yes - specialty pharmacy network,Inpatient required for infusion period
Abecma,idecabtagene vicleucel,Bristol Myers Squibb/Bluebird Bio,0003-3158-11,CAR-T Therapy,Relapsed/Refractory Multiple Myeloma,"Single dose, patient-specific","$419,500","$251,700 (340B discounted)","Varies by plan, typically $380,000-420,000",Yes - BMS Patient Assistance,Yes - Medical and Pharmacy PA,"Screening: Multiple myeloma disease assessment, BCMA expression confirmation, bridging therapy planning (Days 1-7); Leukapheresis: T-cell collection at certified center (Days 7-10); Bridging: Anti-myeloma therapy during manufacturing to control disease (Days 10-37)","Manufacturing: 4-6 weeks typical, T-cell activation, lentiviral vector transduction with anti-BCMA CAR, expansion, quality control testing, cryopreservation, shipping to site (Days 10-42)","Lymphodepletion: Cyclophosphamide 300mg/m2 + Fludarabine 30mg/m2 for 3 days (Days 40-42); Day 0: Abecma infusion over 30-60 minutes, minimum 7 days hospitalization, CRS/neurotoxicity monitoring, supportive care medications available","Hospital monitoring: 7-10 days for CRS (peaks Day 1-7) and neurotoxicity monitoring; Outpatient: Weekly visits x 4 weeks, biweekly x 2 months; Long-term: Monthly visits for 4 months, then every 3 months; Monitor for hypogammaglobulinemia, cytopenias; IVIG replacement as needed",42-52 days average,"Medicare Part B, Commercial insurance, Medicaid, VA/340B",Yes - BMS Access Support,Yes - Abecma REMS program,Yes - specialty distribution required,Inpatient required minimum 7 days
Tecartus,brexucabtagene autoleucel,Gilead Sciences/Kite Pharma,68180-0152-01,CAR-T Therapy,Mantle Cell Lymphoma,"Single dose, patient-specific","$373,000","$223,800 (340B discounted)","Varies by plan, typically $330,000-373,000",Yes - Kite Konnect Support,Yes - Medical and Pharmacy PA,"Screening: Disease restaging, CNS assessment, leukapheresis eligibility (Days 1-7); Leukapheresis: Mononuclear cell collection, adequate T-cell numbers required (Days 7-10); Bridging: Chemotherapy to control aggressive MCL during manufacturing (Days 10-28)","Manufacturing at Kite: 2-3 weeks, T-cell enrichment, retroviral transduction with CD19 CAR, expansion, testing for sterility/potency/identity, cryopreservation (Days 10-28)","Lymphodepletion: Cyclophosphamide 500mg/m2 + Fludarabine 30mg/m2 x 3 days (Days 26-28); Day 0: Tecartus infusion, admit minimum 7 days for CRS/ICANS monitoring, emergency medications at bedside including tocilizumab","Inpatient: 7-14 days monitoring for CRS (median onset Day 2) and neurotoxicity (median Day 6-7), supportive care; Outpatient: Weekly x 2-4 weeks, then monthly x 3 months; Long-term: Every 3 months Year 1; Monitor B-cells, immunoglobulins",28-38 days average,"Medicare Part B, Commercial, Medicaid, 340B/VA",Yes - Kite Konnect Copay,Yes - Tecartus REMS program,Yes - specialty pharmacy,Inpatient required minimum 7 days
Carvykti,ciltacabtagene autoleucel,Janssen/Legend Biotech,57894-0150-01,CAR-T Therapy,Relapsed/Refractory Multiple Myeloma,"Single dose, patient-specific","$465,000","$279,000 (340B discounted)","Varies by plan, typically $420,000-465,000",Yes - Janssen CarePath,Yes - Medical and Pharmacy PA,"Screening: Myeloma disease assessment, prior BCMA therapy evaluation, organ function (Days 1-7); Leukapheresis: T-cell collection at authorized site, adequate cell count verification (Days 7-10); Bridging: Anti-myeloma therapy during 5-6 week manufacturing (Days 10-45)","Manufacturing: 5-6 weeks at Legend/Janssen facility, T-cell selection and activation, lentiviral transduction with dual BCMA-targeting CAR, expansion, release testing, shipping (Days 10-45)","Lymphodepletion: Cyclophosphamide 300mg/m2 + Fludarabine 30mg/m2 x 3 days (Days 43-45); Day 0: Carvykti infusion, hospitalization minimum 7-10 days, CRS/ICANS/Parkinsonism monitoring, tocilizumab/steroids available","Hospital stay: 7-14 days for toxicity monitoring including movement disorders; Outpatient: Weekly x 4 weeks, then biweekly x 8 weeks; Long-term: Monthly x 6 months, then every 3 months; Monitor for delayed neurotoxicity, cytopenias, infections; IVIG as needed",45-55 days average,"Medicare Part B, Commercial insurance, Medicaid, VA/340B",Yes - Janssen CarePath Savings,Yes - Carvykti REMS program,Yes - specialty distribution,Inpatient required 7-14 days
Lyfgenia,betibeglogene autotemcel,Bluebird Bio,71074-0155-01,Gene Therapy,Sickle Cell Disease (age 12+),"Single dose, one-time treatment","$3,100,000","$1,860,000 (340B rate)","Varies, typically $2,800,000-3,100,000",Yes - Bluebird Bio Patient Support,Yes - Prior Authorization required,"Screening: Sickle cell genotype confirmation, organ function assessment, fertility preservation counseling (Days 1-14); Mobilization: Plerixafor for stem cell mobilization (Days 14-16); Apheresis: CD34+ stem cell collection, adequate cell dose verification (Days 16-18)","Manufacturing: 4-6 months, CD34+ cell transduction with BB305 lentiviral vector containing modified beta-globin gene, cell expansion, extensive release testing for replication-competent lentivirus (Days 18-180)","Myeloablative conditioning: Busulfan 3.2mg/kg/day IV x 4 days for full myeloablation (Days 176-179); Day 0: Lyfgenia infusion of gene-modified cells, hospitalization 4-6 weeks for engraftment, monitor for VOC, infections, mucositis, support with transfusions","Hospital stay: 4-6 weeks for neutrophil and platelet engraftment; Early follow-up: Weekly x 4 weeks post-discharge; Intermediate: Monthly x 12 months; Long-term: Every 3 months for Year 2-5, then annually up to 15 years for gene therapy safety monitoring per FDA",180-200 days average,"Medicare Part B (limited), Commercial insurance with case management, Medicaid varies by state",Yes - Bluebird Bio Financial Support,No specific REMS but Long-term Follow-up required,Yes - specialty cell therapy coordination,Inpatient required 4-6 weeks
Zynteglo,betibeglogene autotemcel,Bluebird Bio,71074-0150-01,Gene Therapy,Transfusion-Dependent Beta-Thalassemia,"Single dose, one-time treatment","$2,800,000","$1,680,000 (340B rate)","Varies, typically $2,500,000-2,800,000",Yes - Bluebird Bio Patient Access,Yes - Prior Authorization required,"Screening: Beta-thalassemia genotype, transfusion history, iron overload assessment, fertility counseling (Days 1-14); Mobilization: Plerixafor stem cell mobilization (Days 14-16); Apheresis: CD34+ hematopoietic stem cell collection (Days 16-18)","Manufacturing: 4-6 months, transduction of CD34+ cells with BB305 lentiviral vector (beta-globin gene), expansion, testing for vector copy number and replication-competent lentivirus (Days 18-180)","Myeloablative conditioning: Busulfan IV 3.2mg/kg/day x 4 days (Days 176-179); Day 0: Zynteglo infusion, hospitalization for engraftment 4-6 weeks, monitor for infections, VOC if present, mucositis management, transfusion support during aplasia","Hospital stay: 4-6 weeks for hematopoietic recovery; Post-discharge: Weekly x 4-8 weeks, then monthly x 12 months; Long-term: Every 3 months Years 2-5, then annually for up to 15 years; Monitor hemoglobin, transfusion independence, vector integration",180-200 days average,"Medicare (limited coverage), Commercial with high complexity case management, Some state Medicaid",Yes - Bluebird Bio Patient Support,No REMS but 15-year registry,Yes - specialty gene therapy coordination,Inpatient 4-6 weeks required
Casgevy,exagamglogene autotemcel,Vertex/CRISPR Therapeutics,74115-0001-01,CRISPR Gene Therapy,Sickle Cell Disease and Beta-Thalassemia,"Single dose, one-time treatment","$2,200,000","$1,320,000 (340B)","Varies, typically $2,000,000-2,200,000",Yes - Vertex Patient Support,Yes - Prior Authorization required,"Screening: Genetic confirmation SCD or TDT, comprehensive evaluation, fertility preservation (Days 1-21); Mobilization: Plerixafor subcutaneous for stem cell mobilization (Days 21-23); Apheresis: CD34+ stem cell collection, cell count verification (Days 23-25)","Manufacturing: 4-6 months, CRISPR/Cas9 editing of BCL11A gene in CD34+ cells to reactivate fetal hemoglobin production, extensive quality testing, characterization of editing efficiency (Days 25-180)","Myeloablative conditioning: Busulfan IV pharmacokinetically dosed x 4 days (Days 176-179); Day 0: Casgevy infusion of CRISPR-edited cells, hospitalization minimum 4-6 weeks for engraftment, antimicrobial prophylaxis, transfusion support","Hospital: 4-6 weeks for neutrophil/platelet recovery, monitor for infections, VOC events; Outpatient: Weekly x 4 weeks, biweekly x 4 weeks, then monthly x 12 months; Long-term: Every 3 months Years 2-5, annually to Year 15; Fetal hemoglobin levels, editing efficiency monitoring",180-200 days from start,"Medicare evaluation ongoing, Commercial insurance, Medicaid state-dependent",Yes - Vertex Support Program,No REMS but 15-year registry required,Yes - specialty gene therapy sites only,Inpatient required 4-6 weeks minimum
Zolgensma,onasemnogene abeparvovec,Novartis Gene Therapies,0078-0850-01,Gene Therapy,Spinal Muscular Atrophy Type 1,"Single dose, one-time IV infusion","$2,125,000","$1,275,000 (340B)","Varies, typically $1,900,000-2,125,000",Yes - Novartis Gene Therapies Patient Assistance,Yes - Prior Authorization required,"Screening: SMN1/SMN2 genetic testing confirmation, anti-AAV9 antibody testing (exclusion if high titer), liver function, cardiac function assessment, pre-medication planning (Days 1-14)","Not applicable - Zolgensma is manufactured product, not patient-specific; Delivered directly to treatment site; Cold chain logistics critical","Pre-medication: Prednisolone 1mg/kg/day starting 1 day before infusion; Day 0: Zolgensma IV infusion over 60 minutes (dose based on weight), typically outpatient infusion at specialized center, monitoring for hypersensitivity","Post-infusion monitoring: Liver enzymes weekly x 3 months (hepatotoxicity monitoring), adjust steroid taper based on transaminases; Monthly assessment x 12 months; Long-term follow-up: Every 6 months to assess motor milestones, safety monitoring for 15 years per FDA",14-21 days from screening,"Medicare Part B, Commercial insurance (typically approved), Medicaid state-specific",Yes - Novartis Gene Therapies Support,No REMS but Risk Evaluation required,Yes - specialty infusion centers,Outpatient infusion at certified center
