Center Name,Address,City,State,ZIP Code,Phone,Website,Email/Contact,Key Providers/Specialists,Therapeutic Areas,Products/Drugs Used,Manufacturers/Sponsors,Clinical Trials,Trial Sponsors,Capacity/Beds,NCI Designated,FACT Accredited,Additional Patient Services
Dana-Farber Cancer Institute,450 Brookline Ave,Boston,MA,02215,857-255-1507,https://www.dana-farber.org,New patient appointment form online,"Dr. Caron Jacobson (Lymphoma CAR-T), Dr. Omar Nadeem (Myeloma CAR-T), Dr. Amar Kelkar (Gene Therapy Director)","CAR-T, Gene Therapy, Stem Cell Transplant, Precision Medicine, Immunotherapy","Kymriah, Yescarta, Breyanzi, Abecma, Tecartus","Novartis, Gilead/Kite, BMS, Bluebird Bio","CAR-T for solid tumors, Novel CAR-T constructs, Gene therapy combinations","Dana-Farber, NIH/NCI, BMS, Novartis",500+ transplants annually,Yes - Comprehensive,Yes,"Financial counseling, Patient navigation, Housing assistance, Transportation"
Memorial Sloan Kettering Cancer Center,1275 York Avenue,New York,NY,10065,212-639-2000,https://www.mskcc.org,appointments@mskcc.org,"Dr. Michel Sadelain (CAR-T Pioneer), Dr. Renier Brentjens, Dr. Jae Park","CAR-T, Gene Therapy, Cellular Immunotherapy, Precision Oncology, Radioligand Therapy","Kymriah, Yescarta, Breyanzi, Abecma, Tecartus, Pluvicto, Lutathera","Novartis, Gilead/Kite, BMS, Bluebird Bio, AAA","Next-gen CAR-T, TCR-T therapy, CRISPR editing, Radioligand combinations","MSK, NIH/NCI, Industry partners",25000+ patients annually,Yes - Comprehensive,Yes,"Social work, Integrative medicine, Nutrition counseling, Survivorship programs"
MD Anderson Cancer Center,1515 Holcombe Blvd,Houston,TX,77030,877-632-6789,https://www.mdanderson.org,patient.access@mdanderson.org,"Dr. Sattva Neelapu (CAR-T), Dr. Elizabeth Shpall (Stem Cell), Dr. Cassian Yee","CAR-T, Gene Therapy, Immunotherapy, Cellular Therapy, Precision Medicine","Kymriah, Yescarta, Breyanzi, Abecma, Tecartus","Novartis, Gilead/Kite, BMS","Allogeneic CAR-T, CAR-NK cells, CRISPR editing, Oncolytic virus therapy","MD Anderson, NIH/NCI, CPRIT",20000+ new patients annually,Yes - Comprehensive,Yes,"International services, Lodging, Clinical trial matching, Language services"
Mayo Clinic - Rochester,200 First Street SW,Rochester,MN,55905,507-284-2511,https://www.mayoclinic.org,mc2511@mayo.edu,"Dr. Saad Kenderian (CAR-T), Dr. Yi Lin (Myeloma), Dr. Stephen Ansell","CAR-T, Gene Therapy, Stem Cell Transplant, Multiple Myeloma, Lymphoma","Kymriah, Yescarta, Breyanzi, Abecma, Tecartus, Carvykti","Novartis, Gilead/Kite, BMS, Janssen","CAR-T for autoimmune diseases, Off-the-shelf CAR-T, CAR-NK therapy","Mayo Clinic, NIH, Industry sponsors",2000+ transplants annually,Yes - Comprehensive,Yes,"Care coordination, Travel planning, Second opinions, Integrative therapies"
Johns Hopkins Hospital,1800 Orleans Street,Baltimore,MD,21287,410-955-5000,https://www.hopkinsmedicine.org,kimmelcancercenter@jhmi.edu,"Dr. Lode Swinnen (CAR-T), Dr. Leo Luznik (Stem Cell), Dr. Ivan Borrello","CAR-T, Gene Therapy, Immunotherapy, Stem Cell Transplant, Precision Medicine","Kymriah, Yescarta, Breyanzi, Abecma, Tecartus","Novartis, Gilead/Kite, BMS","Novel CAR-T targets, Bispecific antibodies, Gene editing","Johns Hopkins, NIH/NCI, CIRM",1500+ transplants annually,Yes - Comprehensive,Yes,"Patient advocacy, Financial assistance, Clinical research coordination"
University of Pennsylvania,3400 Civic Center Blvd,Philadelphia,PA,19104,215-662-4000,https://www.pennmedicine.org,cancer.appointments@uphs.upenn.edu,"Dr. Carl June (CAR-T Pioneer), Dr. Noelle Frey, Dr. Bruce Levine","CAR-T, Gene Therapy, Cellular Immunotherapy, CRISPR, Precision Medicine","Kymriah (developed at Penn), Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS, Tmunity","CRISPR-edited CAR-T, Universal CAR-T, Gene therapy for hemophilia","Penn Medicine, NIH, Novartis, Parker Institute",1200+ cellular therapy patients,Yes - Comprehensive,Yes,"CAR-T support program, Housing assistance, Caregiver resources"
Fred Hutchinson Cancer Center,1100 Fairview Ave N,Seattle,WA,98109,206-667-5000,https://www.fredhutch.org,patient.services@fredhutch.org,"Dr. Cameron Turtle (CAR-T), Dr. Stanley Riddell, Dr. Hans-Peter Kiem","CAR-T, Gene Therapy, Stem Cell Transplant, Cellular Therapy, Immunotherapy","Kymriah, Yescarta, Breyanzi, Abecma, Tecartus","Novartis, Gilead/Kite, BMS, Juno","CAR-T optimization, TCR-engineered T cells, Gene therapy for HIV","Fred Hutch, NIH/NCI, Juno/BMS, Gates Foundation",10000+ transplant survivors,Yes - Comprehensive,Yes,"Long-term survivor clinic, Transplant recovery, Research participation"
Cleveland Clinic,9500 Euclid Avenue,Cleveland,OH,44195,866-223-8100,https://www.clevelandclinic.org,cancercenter@ccf.org,"Dr. Matt Kalaycio (CAR-T), Dr. Aziz Nazha, Dr. Deepa Jagadeesh","CAR-T, Gene Therapy, Stem Cell Transplant, Hematologic Malignancies, Cardio-Oncology","Kymriah, Yescarta, Breyanzi, Abecma, Tecartus","Novartis, Gilead/Kite, BMS","CAR-T cardiotoxicity prevention, Novel cellular therapies","Cleveland Clinic, NIH, Industry partners",800+ CAR-T treatments,Yes,Yes,"Cardio-oncology program, Supportive care clinic, Clinical trial navigation"
Stanford Medicine,300 Pasteur Drive,Stanford,CA,94305,650-498-6000,https://www.stanfordhealthcare.org,cancercenter@stanford.edu,"Dr. Crystal Mackall (Pediatric CAR-T), Dr. David Miklos, Dr. Matthew Porteus","CAR-T, Gene Therapy, CRISPR, Stem Cell Transplant, Precision Medicine","Kymriah, Yescarta, Breyanzi, Abecma, Tecartus","Novartis, Gilead/Kite, BMS, CRISPR Tx","CRISPR-edited CAR-T, Base editing, Gene therapy for sickle cell","Stanford, NIH/NCI, CIRM, CRISPR Tx, Vertex",15000+ cancer patients annually,Yes - Comprehensive,Yes,"Clinical trial support, Genetic counseling, Precision medicine clinic"
City of Hope,1500 East Duarte Road,Duarte,CA,91010,626-256-4673,https://www.cityofhope.org,contactus@coh.org,"Dr. Stephen Forman (Stem Cell Pioneer), Dr. Larry Kwak, Dr. John Rossi","CAR-T, Gene Therapy, Stem Cell Transplant, Immunotherapy, Cellular Therapy","Kymriah, Yescarta, Breyanzi, Abecma, Tecartus","Novartis, Gilead/Kite, BMS, Mustang Bio","CAR-T manufacturing innovation, Gene therapy vectors, Oncolytic virus","City of Hope, NIH/NCI, CIRM",13000+ annual cancer patients,Yes - Comprehensive,Yes,"Hope Village housing, Financial counseling, Survivorship, Wellness programs"
